Price,Close,High,Low,Open,Volume,Adj Close
Ticker,AXP,AXP,AXP,AXP,AXP,
Date,,,,,,
2015-01-02,79.86871337890625,80.65864760881695,79.11313123588428,79.99750750177418,2437500,79.86871337890625
2015-01-05,77.75650787353516,79.66264244785614,77.55044121842342,79.38788472412686,3469600,77.75650787353516
2015-01-06,76.09937286376953,78.04844097711297,75.50693041651083,77.95399239625101,4800300,76.09937286376953
2015-01-07,77.76140594482422,78.37281818360881,77.09832053190608,78.37281818360881,5665200,77.76140594482422
2015-01-08,78.86367797851562,79.0617376927591,78.36421219213544,78.7431181776675,3774200,78.86367797851562
2015-01-09,77.86473083496094,79.05311516284331,77.70972446915084,78.86366220796263,3681700,77.86473083496094
2015-01-12,77.07247924804688,78.31253017857671,76.71079991664737,77.93362426757812,3230700,77.07247924804688
2015-01-13,76.8399658203125,78.48474923787735,76.15104724090466,77.73555077552241,3537600,76.8399658203125
2015-01-14,74.97990417480469,76.14244875480368,74.27376545013735,75.29853022947762,6628400,74.97990417480469
2015-01-15,73.95512390136719,75.80658680681313,72.80980614266218,75.35018104710157,5830900,73.95512390136719
2015-01-16,74.09292602539062,74.23931911723267,72.97343475479848,73.66235347054992,6768700,74.09292602539062
2015-01-20,75.1435317993164,75.53965780190076,74.42016641675889,74.45461301307272,6364100,75.1435317993164
2015-01-21,75.49658203125,75.53964191008758,74.72155020227893,75.40185555381936,7185700,75.49658203125
2015-01-22,72.65481567382812,74.16181962416698,71.90561705902539,72.76676217350474,16390100,72.65481567382812
2015-01-23,72.4481430053711,73.47290789145622,72.3017498987922,72.70648919228856,7366100,72.4481430053711
2015-01-26,71.73336791992188,72.59451276136144,71.57836158566221,72.14671376460518,6632800,71.73336791992188
2015-01-27,70.9583511352539,71.71615638949872,70.6827849909817,71.04446432346114,6329500,70.9583511352539
2015-01-28,70.38137817382812,71.81087534435096,70.36415159598234,71.3028029881453,7942200,70.38137817382812
2015-01-29,70.61388397216797,70.89806337471308,69.8905253875234,70.67416385422169,7545900,70.61388397216797
2015-01-30,69.48578643798828,70.78611055064063,69.37383339238558,70.71722394951713,7210500,69.48578643798828
2015-02-02,70.72584533691406,70.82918511505356,69.62358065015587,69.71830713761314,5459300,70.72584533691406
